,state,act_part_2017,act_avg_2017,act_part_2018,act_avg_2018,act_part_2019,act_avg_2019
0,Alabama,100.0,53.333333333333336,100.0,53.055555555555564,100.0,52.49999999999999
1,Alaska,65.0,55.0,33.0,57.77777777777778,38.0,55.83333333333334
2,Arizona,62.0,54.72222222222222,66.0,53.333333333333336,73.0,52.77777777777778
3,Arkansas,100.0,53.888888888888886,100.0,53.888888888888886,100.0,53.611111111111114
4,California,31.0,63.333333333333336,27.0,63.05555555555556,23.0,62.77777777777778
5,Colorado,100.0,57.77777777777778,30.0,66.38888888888889,27.0,66.11111111111111
6,Connecticut,31.0,70.0,26.0,71.11111111111111,22.0,70.83333333333333
7,Delaware,18.0,66.94444444444444,17.0,66.11111111111111,13.0,66.94444444444444
8,District of Columbia,32.0,67.22222222222223,32.0,65.55555555555556,32.0,65.27777777777777
9,Florida,73.0,55.0,66.0,55.27777777777777,54.0,55.83333333333334
10,Georgia,55.0,59.44444444444444,53.0,59.44444444444444,49.0,59.44444444444444
11,Hawaii,90.0,52.77777777777778,89.0,52.49999999999999,80.0,52.77777777777778
12,Idaho,38.0,61.94444444444444,36.0,61.94444444444444,31.0,62.5
13,Illinois,93.0,59.44444444444444,43.0,66.38888888888889,35.0,67.5
14,Indiana,35.0,62.77777777777778,32.0,62.5,29.0,62.5
15,Iowa,67.0,60.833333333333336,68.0,60.55555555555556,66.0,60.0
16,Kansas,73.0,60.27777777777778,71.0,60.0,72.0,58.888888888888886
17,Kentucky,100.0,55.55555555555556,100.0,56.111111111111114,100.0,55.0
18,Louisiana,100.0,54.166666666666664,100.0,53.333333333333336,100.0,52.22222222222222
19,Maine,8.0,67.5,7.0,66.66666666666667,6.0,67.5
20,Maryland,28.0,65.55555555555556,31.0,62.5,28.0,61.94444444444444
21,Massachusetts,29.0,70.55555555555556,25.0,70.83333333333333,21.0,70.83333333333333
22,Michigan,29.0,66.94444444444444,22.0,67.22222222222223,19.0,67.77777777777777
23,Minnesota,100.0,59.72222222222222,99.0,59.166666666666664,95.0,59.44444444444444
24,Mississippi,100.0,51.66666666666667,100.0,51.66666666666667,100.0,51.11111111111111
25,Missouri,100.0,56.66666666666666,100.0,55.55555555555556,82.0,57.77777777777778
26,Montana,100.0,56.388888888888886,100.0,55.55555555555556,100.0,55.0
27,Nebraska,84.0,59.44444444444444,100.0,55.83333333333334,100.0,55.55555555555556
28,Nevada,100.0,49.44444444444444,100.0,49.166666666666664,100.0,49.722222222222214
29,New Hampshire,18.0,70.83333333333333,16.0,69.72222222222223,14.0,69.44444444444444
30,New Jersey,34.0,66.38888888888889,31.0,65.83333333333333,25.0,67.22222222222223
31,New Mexico,66.0,54.72222222222222,67.0,53.888888888888886,63.0,53.611111111111114
32,New York,31.0,67.22222222222223,27.0,68.05555555555556,22.0,68.05555555555556
33,North Carolina,100.0,53.055555555555564,100.0,53.055555555555564,100.0,52.77777777777778
34,North Dakota,98.0,56.388888888888886,98.0,56.388888888888886,96.0,55.27777777777777
35,Ohio,75.0,61.111111111111114,100.0,56.388888888888886,100.0,55.55555555555556
36,Oklahoma,100.0,53.888888888888886,100.0,53.611111111111114,100.0,52.49999999999999
37,Oregon,40.0,60.55555555555556,42.0,59.166666666666664,42.0,58.611111111111114
38,Pennsylvania,23.0,65.83333333333333,20.0,65.27777777777777,17.0,65.55555555555556
39,Rhode Island,21.0,66.66666666666667,15.0,67.22222222222223,12.0,68.61111111111111
40,South Carolina,100.0,51.94444444444444,100.0,50.833333333333336,78.0,52.22222222222222
41,South Dakota,80.0,60.55555555555556,77.0,60.833333333333336,75.0,60.0
42,Tennessee,100.0,55.0,100.0,54.44444444444445,100.0,53.888888888888886
43,Texas,45.0,57.5,45.0,57.5,39.0,56.94444444444444
44,Utah,100.0,56.388888888888886,100.0,56.66666666666666,100.0,56.388888888888886
45,Vermont,29.0,65.55555555555556,24.0,66.94444444444444,20.0,66.94444444444444
46,Virginia,29.0,66.11111111111111,24.0,66.38888888888889,21.0,66.66666666666667
47,Washington,29.0,60.833333333333336,24.0,61.666666666666664,24.0,61.388888888888886
48,West Virginia,69.0,56.66666666666666,65.0,56.388888888888886,49.0,57.77777777777778
49,Wisconsin,100.0,56.94444444444444,100.0,56.94444444444444,100.0,56.388888888888886
50,Wyoming,100.0,56.111111111111114,100.0,55.55555555555556,100.0,55.0
