,state,sat_part_2017,sat_avg_2017,sat_part_2018,sat_avg_2018,sat_part_2019,sat_avg_2019
0,Alabama,5.0,72.8125,6.0,72.875,7.0,71.4375
1,Alaska,38.0,67.5,43.0,69.125,41.0,68.5625
2,Arizona,30.0,69.75,29.0,71.8125,31.0,70.875
3,Arkansas,3.0,75.5,5.0,73.0625,6.0,71.3125
4,California,53.0,65.9375,60.0,67.25,63.0,66.5625
5,Colorado,11.0,75.0625,100.0,64.0625,100.0,64.0
6,Connecticut,100.0,65.0625,100.0,65.8125,100.0,65.375
7,Delaware,100.0,62.25,100.0,62.375,100.0,61.5625
8,District of Columbia,100.0,59.375,92.0,61.0625,94.0,60.9375
9,Florida,83.0,63.5625,56.0,68.6875,100.0,62.4375
10,Georgia,61.0,65.625,70.0,66.5,71.0,66.125
11,Hawaii,55.0,67.8125,56.0,63.125,54.0,68.75
12,Idaho,93.0,62.8125,100.0,62.5625,100.0,62.0625
13,Illinois,9.0,69.6875,99.0,63.6875,100.0,63.3125
14,Indiana,63.0,67.125,63.0,67.125,66.0,67.5
15,Iowa,2.0,79.6875,3.0,79.0625,3.0,77.75
16,Kansas,4.0,78.75,4.0,79.0625,4.0,77.5625
17,Kentucky,4.0,77.9375,4.0,78.0,4.0,77.0
18,Louisiana,4.0,74.875,4.0,75.625,5.0,75.0
19,Maine,95.0,63.25,99.0,63.3125,99.0,63.3125
20,Maryland,69.0,66.25,76.0,67.5,82.0,66.125
21,Massachusetts,76.0,69.1875,80.0,70.3125,81.0,70.0
22,Michigan,100.0,62.8125,100.0,63.1875,100.0,62.6875
23,Minnesota,3.0,80.9375,4.0,81.125,4.0,80.25
24,Mississippi,2.0,77.625,3.0,77.25,3.0,77.3125
25,Missouri,3.0,79.4375,4.0,78.875,4.0,77.25
26,Montana,10.0,74.75,10.0,74.875,9.0,74.9375
27,Nebraska,3.0,78.3125,3.0,78.25,3.0,78.75
28,Nevada,26.0,69.75,23.0,71.25,20.0,72.25
29,New Hampshire,96.0,65.75,96.0,66.4375,95.0,66.1875
30,New Jersey,70.0,66.0,82.0,68.375,82.0,68.125
31,New Mexico,11.0,71.125,16.0,68.3125,18.0,67.0625
32,New York,67.0,65.75,79.0,66.75,79.0,66.5
33,North Carolina,49.0,67.5625,52.0,68.625,51.0,68.75
34,North Dakota,2.0,78.5,2.0,80.1875,2.0,78.9375
35,Ohio,12.0,71.8125,18.0,68.6875,19.0,68.5625
36,Oklahoma,7.0,65.4375,8.0,66.375,22.0,60.1875
37,Oregon,43.0,69.25,48.0,69.8125,51.0,69.5
38,Pennsylvania,65.0,66.9375,70.0,67.875,70.0,67.625
39,Rhode Island,71.0,66.375,97.0,63.625,100.0,62.1875
40,South Carolina,50.0,66.5,55.0,66.875,68.0,64.375
41,South Dakota,3.0,76.0,3.0,77.5,3.0,79.25
42,Tennessee,5.0,76.75,6.0,76.9375,7.0,76.25
43,Texas,62.0,63.75,66.0,64.5,68.0,63.875
44,Utah,3.0,77.375,4.0,63.125,4.0,76.875
45,Vermont,60.0,69.625,64.0,70.0,66.0,69.125
46,Virginia,65.0,68.875,68.0,69.8125,68.0,69.9375
47,Washington,64.0,67.1875,69.0,67.5625,70.0,67.125
48,West Virginia,14.0,67.875,28.0,62.4375,99.0,58.9375
49,Wisconsin,3.0,80.6875,3.0,80.875,3.0,80.1875
50,Wyoming,3.0,76.875,3.0,78.5625,3.0,77.375
